ParliamentNumber,SessionNumber,DecisionEventDateTime,DecisionDivisionNumber,PersonShortSalutation,ConstituencyName,VoteValueName,PersonOfficialFirstName,PersonOfficialLastName,ConstituencyProvinceTerritoryName,CaucusShortName,IsVoteYea,IsVoteNay,IsVotePaired,DecisionResultName,PersonId
44,1,2022-03-24T18:13:00,47,Mr.,Huron—Bruce,Nay,Ben,Lobb,Ontario,Conservative,false,true,false,Agreed To,35600
44,1,2022-03-24T18:13:00,47,Mr.,Saint John—Rothesay,Yea,Wayne,Long,New Brunswick,Liberal,true,false,false,Agreed To,88368
44,1,2022-03-24T18:13:00,47,Mr.,Guelph,Yea,Lloyd,Longfield,Ontario,Liberal,true,false,false,Agreed To,88761
44,1,2022-03-24T18:13:00,47,Mr.,Kitchener—Conestoga,Yea,Tim,Louis,Ontario,Liberal,true,false,false,Agreed To,88810
44,1,2022-03-24T18:13:00,47,Mr.,Cardigan,Yea,Lawrence,MacAulay,Prince Edward Island,Liberal,true,false,false,Agreed To,33
44,1,2022-03-24T18:13:00,47,Mr.,Malpeque,Yea,Heath,MacDonald,Prince Edward Island,Liberal,true,false,false,Agreed To,109891
44,1,2022-03-24T18:13:00,47,Mr.,Cowichan—Malahat—Langford,Yea,Alistair,MacGregor,British Columbia,NDP,true,false,false,Agreed To,89269
44,1,2022-03-24T18:13:00,47,Mr.,Oxford,Nay,Dave,MacKenzie,Ontario,Conservative,false,true,false,Agreed To,891
44,1,2022-03-24T18:13:00,47,Mr.,Gatineau,Yea,Steven,MacKinnon,Quebec,Liberal,true,false,false,Agreed To,88468
44,1,2022-03-24T18:13:00,47,Mr.,Brandon—Souris,Nay,Larry,Maguire,Manitoba,Conservative,false,true,false,Agreed To,7251
44,1,2022-03-24T18:13:00,47,Mr.,Etobicoke—Lakeshore,Yea,James,Maloney,Ontario,Liberal,true,false,false,Agreed To,88748
44,1,2022-03-24T18:13:00,47,Mr.,Chicoutimi—Le Fjord,Nay,Richard,Martel,Quebec,Conservative,false,true,false,Agreed To,100521
44,1,2022-03-24T18:13:00,47,Ms.,Hochelaga,Yea,Soraya,Martinez Ferrada,Quebec,Liberal,true,false,false,Agreed To,104756
44,1,2022-03-24T18:13:00,47,Mr.,Windsor West,Yea,Brian,Masse,Ontario,NDP,true,false,false,Agreed To,9137
44,1,2022-03-24T18:13:00,47,Ms.,London—Fanshawe,Yea,Lindsay,Mathyssen,Ontario,NDP,true,false,false,Agreed To,105221
44,1,2022-03-24T18:13:00,47,Ms.,Saanich—Gulf Islands,Yea,Elizabeth,May,British Columbia,Green Party,true,false,false,Agreed To,2897
44,1,2022-03-24T18:13:00,47,Mr.,Cambridge,Yea,Bryan,May,Ontario,Liberal,true,false,false,Agreed To,71599
44,1,2022-03-24T18:13:00,47,Mr.,Dauphin—Swan River—Neepawa,Nay,Dan,Mazier,Manitoba,Conservative,false,true,false,Agreed To,3306
44,1,2022-03-24T18:13:00,47,Mr.,Edmonton West,Nay,Kelly,McCauley,Alberta,Conservative,false,true,false,Agreed To,89179
44,1,2022-03-24T18:13:00,47,Mr.,Avalon,Yea,Ken,McDonald,Newfoundland and Labrador,Liberal,true,false,false,Agreed To,88283
44,1,2022-03-24T18:13:00,47,Mr.,Ottawa South,Yea,David,McGuinty,Ontario,Liberal,true,false,false,Agreed To,9486
44,1,2022-03-24T18:13:00,47,Mr.,Scarborough—Guildwood,Yea,John,McKay,Ontario,Liberal,true,false,false,Agreed To,957
44,1,2022-03-24T18:13:00,47,Mr.,Coquitlam—Port Coquitlam,Yea,Ron,McKinnon,British Columbia,Liberal,true,false,false,Agreed To,59293
44,1,2022-03-24T18:13:00,47,Mr.,Northwest Territories,Yea,Michael,McLeod,Northwest Territories,Liberal,true,false,false,Agreed To,89374
44,1,2022-03-24T18:13:00,47,Ms.,Edmonton Strathcona,Yea,Heather,McPherson,Alberta,NDP,true,false,false,Agreed To,105689
44,1,2022-03-24T18:13:00,47,Mr.,Kenora,Nay,Eric,Melillo,Ontario,Conservative,false,true,false,Agreed To,105186
44,1,2022-03-24T18:13:00,47,Mrs.,Brossard—Saint-Lambert,Yea,Alexandra,Mendès,Quebec,Liberal,true,false,false,Agreed To,58621
44,1,2022-03-24T18:13:00,47,Mr.,Eglinton—Lawrence,Yea,Marco,Mendicino,Ontario,Liberal,true,false,false,Agreed To,88738
44,1,2022-03-24T18:13:00,47,Mr.,Richmond Centre,Yea,Wilson,Miao,British Columbia,Liberal,true,false,false,Agreed To,111048
44,1,2022-03-24T18:13:00,47,Ms.,Avignon—La Mitis—Matane—Matapédia,Yea,Kristina,Michaud,Quebec,Bloc Québécois,true,false,false,Agreed To,104648
44,1,2022-03-24T18:13:00,47,Mr.,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Yea,Marc,Miller,Quebec,Liberal,true,false,false,Agreed To,88660
